Program,Fiscal years 2009-2019 total budgetary authority ($Millions),Fiscal year 2009 outlays ($Millions),,cds.id
Medicaid,x,"30,720",,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
State Fiscal Stabilization Fund,"53,600","6,540",,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Highways,"27,500","2,750",,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Special Education (Individuals with Disabilities Education Act),"12,200",732,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Child Care and Development Block Grant (CCDBG),"2,000",660,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Federal Transit Administration-Public Transit Investment Grants,"6,900",621,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Employment and Training,"4,320",613,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Elementary and Secondary Education Act Title I,"13,000",494,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Child Support Enforcement,"1,000",489,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Temporary Assistance for Needy Families (TANF),"5,000",441,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Byrne/Justice Assistance Grant Program/other State and Local,"2,765",415,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Census Bureau,"1,000",400,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Foster Care/Adoption Assistance (Title IV-E),843,313,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Health Centers: operations,500,265,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Health Centers: capital,"1,500",255,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Community Services Block Grant,"1,000",232,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Unemployment Insurance Modernization Incentive Payments,"7,000",191,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Head Start & Early Head Start,"2,100",172,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
High-speed & Intercity Rail,"8,000",160,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Health and Wellness,650,140,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Federal Transit Administration: Fixed Guideway/New Starts,"1,500",136,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Weatherization Assistance Program,"5,000",132,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Clean Water State Revolving Fund,"4,000",120,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Neighborhood Stabilization,"2,000",120,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
State Employment Services,400,120,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
"Women, Infants and Children (WIC)",500,114,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Vocational Rehabilitation Services,680,111,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Commodity Assistance Program,150,105,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Community Oriented Policing Services,"1,000",100,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
Federal Emergency Management Agency: Emergency Food and Shelter,100,100,,http://gregelin.com/data/src/gao/recovery-data/gao-selected-programs-getting-arra.xlsx
